	mov			combat			Strength			shooting			armor	fortune	Agility			Int			mana			courage			vitality			notes					
	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	0					
	min	max	cost	min	max	cost	min	max	cost	min	max	cost	armor	ank	min	max	cost	min	max	cost	min	max	cost	min	max	cost	min	max	cost	notes					
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0					
Amphibians	4	5	1	3	4	2	2	3	2	3	5	2	3	7	4	5	2	2	5	1	0	0	0	3	4	1	3	5	2	Small sneaky and stealthy. They begin with the skills still and small and Pathfinder open 4 in Forest flooded area swamp)					
Beastmen	5	6	1	3	5	3	3	5	1	2	4	2	3	4	3	4	2	3	4	2	0	0	0	4	5	1	4	7	1	Strong tough Hardy not to school for with weapons. They begin with the skill onslaught					
Birdfolk	5	6	2	3	5	2	3	4	2	2	4	2	3	6	3	4	2	3	5	2	0	0	0	3	5	1	4	6	2	Begins with skills flying 10 and Eagle Eye					
Catfolk	5	6	1	3	5	2	3	5	2	3	5	2	3	4	4	5	2	3	5	2	0	0	0	3	5	1	4	6	2	Outstanding agility and very high potential strength					
Celestials	5	6	2	3	5	2	3	4	2	3	5	2	3	3	3	5	2	4	5	2	0	2	0	3	5	1	4	6	2	they look like humans however the blood of the Gods runs through their veins. They begin with the skill invulnerable. They may learn the skill fly 8. They can never reach Armor value of 6					
Centaurs	7	8	2	3	4	3	3	5	1	3	4	2	3	4	3	4	2	3	4	2	0	0	0	3	5	1	5	8	1	Fast and tough. They began with the skill Onslaught + 2 Agility (wing) tests will jumping. 02 wheel climbing. Can't use heavy armor					
Cyclops	5	6	1	3	5	3	3	5	1	2	4	2	3	6	2	4	2	2	4	1	0	0	0	4	5	1	5	8	1	Brave strong temperamental that begin with the skill onslaught					
Dark Elves	5	6	1	3	5	2	3	4	3	3	5	2	3	4	4	5	2	4	5	2	0	0	0	3	5	1	4	5	3	Add standing agility and speed. Skillful with weapons. It beginning with the skills sharp senses and cruel					
Dogfolk	5	6	1	3	5	3	3	4	1	3	4	2	3	5	3	4	2	3	5	1	0	0	0	3	5	1	5	6	2	Not Very skillful with weapons. They have a good sense of smell and strong though. Starting skills are sharp senses and tracker. May use the weapon fangs					
Dwarves	4	5	2	3	5	2	3	4	2	3	5	2	3	5	2	3	1	4	5	2	0	0	0	4	5	1	5	7	2	Slow but loyal. Brave and very tough. They began with the skill ‘tough’. hatred towards orks and goblins and skilled hands					
Elves	5	6	1	3	5	2	3	4	3	3	5	2	3	5	4	5	2	4	5	1	0	2	1	3	5	1	4	5	3	outstanding agility and speed. Scoville with both melee and ranged weapons. Great potential as spell casters. They begin with the skills sharp senses					
Goblin	4	5	2	3	5	2	2	4	2	3	4	2	3	7	4	5	2	3	4	2	0	0	0	2	4	1	3	4	2	Small though expert and dirty fighting. They begin with the skills small stealth and dirty fighter					
Halflings	4	5	2	3	5	2	2	3	2	3	5	2	3	8	3	5	1	4	5	2	0	0	0	3	5	1	3	4	3	Small though Lucky. They begin with the skills small lost in the dark and stealth					
Humans	5	6	2	3	5	2	3	4	2	3	5	2	3	6	3	5	2	4	5	2	0	0	0	3	5	1	4	6	2	Begins with the skill 'in the dark' and one more skill at the players choise depending on the class chosen. They may learn the skill lycantrhopy, but then loose 2 fortune points. 					
Infernals	5	6	2	3	5	2	3	5	1	2	4	2	3	2	2	5	1	3	4	2	0	0	0	4	5	1	4	7	1	Lethal and very tough. They begin with the skills: invulnerable underworld and fearsome. They may learn skill flying 8. Can't wear heavy armor. Can use weapon claws					
Minotaurs	6	7	2	3	4	3	6	8	1	1	2	2	3	2	2	3	1	2	3	2	0	0	0	4	5	1	8	14	1	Huge and uncontrollable. It began with the skills large fearsome Onslaught and clumsy hands and preserver. They can't wear heavy armor. Can use the weapon horns					
