1,2,3,4,5,6,7,8,9,10,11,2,3,14,5,16,17,18,19,20,21,22,23,24,25,26,27
Class,Available races,Amphibians,Beastmen,Birdfolk,Catfolk,Celestials,Centaurs,Cyclops,Dark Elves,Dwarves,Dogfolk,Elves,Goblins,Halfling,Humans,Infernals,Minotaurs,Ogres,Orcs,Ratfolk,Renegade Dwarves,Reptilians,Shardminds,Treefolk,Trolls,Vampires
Animist,16,yes,yes,,yes,,yes,Yes,,,yes,yes,yes,yes,yes,,,yes,yes,yes,,yes,yes,yes,,
Assassin,11,,,yes,yes,,,Yes,yes,yes,,,yes,,yes,,,,yes,yes,yes,yes,,,,
Barbarian,8,,yes,,,,,Yes,,yes,,,,,yes,,yes,yes,yes,,yes,,,,,
Bard,9,,yes,,,yes,,Yes,yes,yes,,yes,,yes,yes,,,,,,yes,,,,,
Battle dancer,4,,,,,,,Yes,yes,,,yes,,,yes,,,,,,,,,,,
Forester,4,,yes,,,,,Yes,,,,yes,,,yes,,,,,,,,,,,
Gladiator,8,,,,,,,Yes,yes,yes,,yes,,,yes,,,yes,yes,,yes,,,,,
Knight,3,,,,,,,no,,,,,,,yes,,,,,,,,,,,yes
Necromancer,3,,,,,,,no,,,,,,,yes,,,,,,,,,,,yes
Paladin,6,,,,,yes,yes,no,,,,yes,,,yes,,,,,,yes,,,,,
Ranger,15,yes,yes,,yes,,yes,Yes,,yes,yes,yes,,yes,yes,,,no spells,no spells,,yes,yes,,yes,,
Rogue,9,,yes,,,,,Yes,yes,yes,,,yes,yes,yes,,,,,yes,yes,,,,,
Runic Master,7,,,,,yes,,Yes,yes,yes,,,,,yes,,,,,,yes,,yes,,,
Scout,23,yes,yes,yes,yes,yes,yes,Yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,
Sorcerer,16,Tribal only,Tribal only,yes,Tribal only,,,Yes,,,Tribal only,,yes,,yes,,,Tribal only,Tribal only,yes,yes,Tribal only,yes,,Tribal only,Witchcraft only
Underworld Sorcerer,2,,,,,,,Yes,,,,,,,yes,,,,,,,,,,,
Warrior,25,yes,yes,yes,yes,yes,yes,Yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Warrior Monk,3,,,,yes,,,Yes,,,,,,,yes,,,,,,,,,,,
Witch Hunter,2,,,,,,,No*,,,,,,,yes,,,,,,,,,,,
Wizard,9,Not Corruption or Underworld,,yes,,yes,,Yes,,,,Not Corruption or Underworld,,,yes,,,,,Fire or Corruption only,,Not Corruption or Underworld,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Cyclops are not permitted the class Sorcerer Hunter, which is not a currently extant class. I have presumed this is a translation artifact and actually refers to 'Witch Hunter'.",,,,,,,,,,,,,,,,,,,,,,,,,,
,Available races,,,,,,RaceColLookup,2,,,,,,,,,,,,,,,,,,
,Amphibians,3,,,,,Animist,3,,,,,,,,,,,,,,,,,,
,Beastmen,4,,,,,Assassin,4,,,,,,,,,,,,,,,,,,
,Birdfolk,5,,,,,Barbarian,5,,,,,,,,,,,,,,,,,,
,Catfolk,6,,,,,Bard,6,,,,,,,,,,,,,,,,,,
,Celestials,7,,,,,Battle dancer,7,,,,,,,,,,,,,,,,,,
,Centaurs,8,,,,,Forester,8,,,,,,,,,,,,,,,,,,
,Cyclops,9,,,,,Gladiator,9,,,,,,,,,,,,,,,,,,
,Dark Elves,10,,,,,Knight,10,,,,,,,,,,,,,,,,,,
,Dogfolk,12,,,,,Necromancer,11,,,,,,,,,,,,,,,,,,
,Dwarves,11,,,,,Paladin,12,,,,,,,,,,,,,,,,,,
,Elves,13,,,,,Ranger,13,,,,,,,,,,,,,,,,,,
,Goblins,14,,,,,Rogue,14,,,,,,,,,,,,,,,,,,
,Halflings,15,,,,,Runic Master,15,,,,,,,,,,,,,,,,,,
,Humans,16,,,,,Scout,16,,,,,,,,,,,,,,,,,,
,Infernals,17,,,,,Sorcerer,17,,,,,,,,,,,,,,,,,,
,Minotaurs,18,,,,,Underworld Sorcerer,18,,,,,,,,,,,,,,,,,,
,Ogres,19,,,,,Warrior,19,,,,,,,,,,,,,,,,,,
,Orcs,20,,,,,Warrior Monk,20,,,,,,,,,,,,,,,,,,
,Ratfolk,21,,,,,Witch Hunter,21,,,,,,,,,,,,,,,,,,
,Renegade Dwarves,22,,,,,Wizard,22,,,,,,,,,,,,,,,,,,
,Reptilians,23,,,,,,,,,,,,,,,,,,,,,,,,
,Shardminds,24,,,,,,,,,,,,,,,,,,,,,,,,
,Treefolk,25,,,,,,,,,,,,,,,,,,,,,,,,
,Trolls,26,,,,,,,,,,,,,,,,,,,,,,,,
,Vampires,27,,,,,,,,,,,,,,,,,,,,,,,,
