name	Cost	Dam: Str plus	Armor Effect	Fight Effect	Throw Range	"Break
(2 ie is 1-2)"	2h	Notes	Wt
-	0							-	-
Axe	3	+1	-1	-1		1-2		-	2
Bastard sword	7	+2				1	2h	"Before rolling, choose to reduce target’s armor by 1. In
that case user’s fight and strenght will be reduced by 1."	3
Battleaxe	5	+2	-1	-1		1-2	2h	shield breaker	4
Broadsword	5	+1				1		-	2
Claws	-					1		natural weapon in case of critical failure if the breakage is rolled failed users unarmed until the end of the quest then the weapon will be replenished	?
Club	-								2
Dagger	1			-1	+4	1		reduces the target's armor by 1 if he is attacked from behind or knocked down no penalty for drawing can be used as a drawing weapon throwing range 4	1
Double headed ax	6	+2	-1			1-2		critical failure on result of double 1 or 2 if the user manages to hit with a critical hit or non-magic Shields blocking the attack will, 2 handed	5
Elven sword	12	+2				1		-1 damage against targets using heavy armor Shield can be 2-handed in that case it's deals 1 more damage dice no penalty for drawing	2
Falcon sword	3	+1		-1**		1		-1 to users attack while defending -1 to targets armor in case of critical hit	1
Falx	3	+2		-1		1-2		-	2
Fangs						1		-	
Falcata	3	+1						-1 to users attack while defending. -1 to targets armor incase of critical hit	1
Fausal Sword	5	+3				1	2h	-2 damage against targets using heavy armor or Shield, 2handed	3
Flail	3	+1	-1	-1		1-3		critical failure on a result of double 1 or 2 ignore Shield blocking in case of critical hit	3
Gladiator scissor	3	-1		-1		1-4		can block attacks on a result of 6 as if it were a buckler. in case of critical hit, equal or smaller size targets drop their weapons, except leaders, just as it happens with a critical failure	1
Great Axe	5	+3	-1	-2		1-2		-2 damage dice against targets using heavy armor	4
Great Falx	5	+3	-1	-1			2h	-2 damage dice against critical armor	4
Great flail	5	+2	-1	-1		1-3	2h	-1 to   his attack critical failing result of double 1 and 2 blocking with Shield is ignored in the case of critical hit	5
Greatsword 	7	+2				1	2h	long range. user must have a strength of four better	4
Halberd	5		-1			1-3		-	3
Hammer	3	-1	-1	-1		1-3		An extra  -1 to targets armor incase of critical hit. Critical failure result on double 1,2,3	2
Horns	6					1-2		natural weapon. they do not increastthe enemies armor whne performaing an onslaught. if weapon is broken after critical failure, user is unarmed untill the end of the quest. The weapon will be replenished.	
Improvised weapon	3			-1		1-6			1
Iron fist	3					1-2		can block attacks on a result of 6 as if it were a buckler	1
Katana	7	+3				1	2h	2 damage dice against targets using heavy armor or Shield no penalty for drawing,	4
Katar	3					1		if the skill-fighting weapon is used with the same weapons user won't get any penalty to his attack	1
Khopesh sword	3	+2		-1		1		-	2
Kusarigama	3			-1		1-3	2h	equal or smallser size targets are stunned in case of critical hit. targets who are not leaders also drop their weapons incase of critical hit	2
Lance	3	+2	-1			1-3		long ranged. Can only be used-attack by riders who have advanced at least 3 spaces in a straight line in case of a critical or equal smaller size targets including the writers are knocked down	3
Mace	3		-1	-1		1-3		Equal or smaller size targets are stunned in thecase of a critical	2
Macuahuitl	1		-1			1-2		Equal or smaller size targets are stunned in thecase of a critical	2
Morningstar	4	+1	-1	-1		1-2		critical failure result of double 1 2 or 3 equal or smaller size targets are stunned in case of critical hit	3
Rapier	4					1-2		if user has a fight and a strength of greater than four of the targets armor is reduced by 1 in case of critical hit	2
Saber	4	+2				1		-3 damage against targets using heavy armor or shield. +1 damage die if used while riding	2
									
Scimitar	4	+2				1		-2 damage against targets using heavy armor or shield.	2
Scythe	2	+2		-1		1-3	2h	critical fail on a double 1 or 2	3
Serrated sword	5	+2				1		-1 damage against targets using heavy armor Shield critical failure on result of double 1 2 or 3	2
Short sword	3		-1	-1		1		*-1 to users attack (skill) while defending (against enemy attack)	1
Spear	2					1-2		long ranged. can be used in 2 hand stealing when we're damaged ice	2
Staff	1		+1			1-2	1h/2h	When used 2h +1 Dam	2
									
Throwing Ax	2		-1	-1	+4	1-2		can be used as a throwing weapon range 4	1
Tool	1			-1		1-3		maybe used even by characters for whom weapons are restricted 	1
Trident	3				+4	1-3	1h/2h	long ranged. -2 to users shoot. can be used as a throwing weapon can be used 2handed dealing 2 more damage days critical failure on double 1 2 or 3	2
Unarmed	-		+1	-1		1-3		in the case of critical failure if the break is roll is failed use your stunned until the Quest	-
Warhammer	5	+1	-1	-1		1-3	2h	equal or smaller size targets are stunned in the case of critical	4
Whip	2		+1	-1		1		in case of critical hit, equal or smaller size targets drop their weapons, except leaders, just as it happens with a critical failure	1
